"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"6.332.996,23";"226.861.253,08";"226.665.710,60";"480.079,09";
"01/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"4.279.951.209,26";"152.885.511,50";"142.487.570,77";"171.127.148,09";
"08/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"4.210.789,21";"365.495.877,06";"365.465.761,81";"341.564,29";
"03/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"2.971.876,85";"336.284.491,73";"332.586.400,55";"9.956.087,66";
"07/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"11.340.885,59";"379.311.846,77";"382.708.189,62";"35.629,64";
"04/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"17.734.160,95";"354.202.498,03";"354.168.658,52";"78.680.158,26";
"03/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"2.842.436,88";"846.059.250,51";"845.603.494,96";"478.843.361,70";
"01/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"276.954.467,96";"20.431.663,72";"5.609.137,52";"561.455.232,41";
"07/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"2.970.619,82";"528.350.537,39";"534.227.442,93";"107.301,89";
"02/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"7.559.819.638,73";"23.851.880,57";"23.674.068,48";"95.922.680,80";
"05/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"1.665.280.671,87";"511.770.945,25";"512.402.768,66";"21.075.675,61";
"06/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"5.410.298,52";"477.603.925,84";"471.851.193,15";"896.995,85";
"09/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"3.718.153,41";"2.869.399,11";"17.370.374,81";"41.500,62";
"08/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"5.910.463,82";"670.391.326,69";"669.809.340,15";"161.383,22";
"04/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"6.594.904,56";"20.990.109,95";"21.387.537,55";"677.175,02";
"08/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"6.380.053,84";"22.236.530,40";"22.333.011,03";"0,00";
"03/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"7.222.939,95";"22.033.402,62";"22.315.441,79";"227.153,78";
"05/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"9.253.144,54";"24.008.988,45";"24.069.555,66";"104.683,73";
"09/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"594.918,90";"678.221,71";"9.609.305,83";"8.455,00";
"02/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"4.363.231,70";"20.055.222,89";"19.614.974,51";"3.182.768,12";
"07/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"8.854.420,92";"22.931.169,59";"26.814.283,17";"401.352,64";
"06/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"4.864.021,38";"23.419.629,46";"19.681.014,54";"2.773,32";
"01/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"201.612.366,21";"15.678.182,36";"6.162.154,03";"16.248.524,71";
"07/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"313.274,44";"10.412.941,09";"12.611.359,43";"207.041,67";
